host_id,listings,total_reviews,average_price,average_availability
219517861,327,1281,253.19571865443424,301.49235474006116
107434423,232,29,303.1508620689655,253.81034482758622
30283594,121,65,277.5289256198347,313.42148760330576
137358866,103,87,43.8252427184466,196.4757281553398
12243051,96,43,213.03125,276.6145833333333
16098958,96,138,208.95833333333334,292.3229166666667
61391963,91,417,146.24175824175825,241.92307692307693
22541573,87,55,215.4367816091954,312.17241379310343
200380610,65,1,290.2307692307692,338.03076923076924
1475015,52,162,103.07692307692308,334.11538461538464
7503643,52,242,149.19230769230768,297.71153846153845
120762452,50,84,171.7,331.74
205031545,49,127,720.2857142857143,220.3265306122449
2856748,49,10,247.9387755102041,348.9183673469388
190921808,47,281,102.1063829787234,335.29787234042556
26377263,43,52,48.13953488372093,290.0232558139535
2119276,39,335,190.76923076923077,271.7435897435897
19303369,37,22,35.945945945945944,12.324324324324325
119669058,34,498,52.55882352941177,326.55882352941177
25237492,34,322,138.97058823529412,289.2647058823529
213781715,33,32,167.54545454545453,263.7878787878788
113805886,33,123,217.57575757575756,320.1515151515151
76104209,33,3,220.3939393939394,344.030303030303
238321374,32,11,59.9375,305.6875
51501835,31,135,135.61290322580646,299.83870967741933
50760546,31,72,183.09677419354838,148.0
224414117,30,403,213.13333333333333,289.3
13347167,29,100,121.96551724137932,290.9310344827586
417504,28,935,248.64285714285714,64.75
39528519,28,34,42.82142857142857,292.67857142857144
226410657,27,15,47.888888888888886,305.74074074074076
9864136,26,211,62.34615384615385,289.2692307692308
230192510,25,6,48.0,261.24
131647128,25,135,247.0,272.88
3191545,23,34,186.17391304347825,286.9130434782609
221200420,23,0,253.47826086956522,330.30434782608694
242962235,23,14,37.04347826086956,261.1304347826087
16437254,21,91,158.0952380952381,289.7142857142857
48146336,20,63,136.0,318.7
252604696,20,17,173.0,331.8
7245581,19,282,88.78947368421052,260.2631578947368
134184451,18,12,141.0,330.94444444444446
95459395,18,1,577.3888888888889,338.22222222222223
3250450,18,94,42.833333333333336,325.55555555555554
177174475,17,108,141.47058823529412,221.88235294117646
201015598,17,311,30.58823529411765,83.3529411764706
216235179,17,17,51.11764705882353,311.94117647058823
159091490,17,382,130.76470588235293,357.11764705882354
9293730,16,113,127.75,307.375
23772724,15,123,133.53333333333333,312.8
260639745,15,14,126.66666666666667,322.1333333333333
5962328,15,42,121.06666666666666,250.2
6885157,15,1346,56.733333333333334,290.4
200239515,15,17,36.06666666666667,17.4
248161322,14,2,50.285714285714285,339.64285714285717
61396454,14,3,245.35714285714286,312.57142857142856
260425153,14,8,410.7142857142857,346.0
204852306,14,5,109.07142857142857,10.285714285714286
17770287,14,104,142.28571428571428,263.0
47554473,13,275,179.3846153846154,62.46153846153846
310670,13,189,143.6153846153846,354.61538461538464
244817841,13,60,37.46153846153846,229.46153846153845
162280872,13,17,171.53846153846155,245.53846153846155
64065593,13,188,317.53846153846155,296.3076923076923
156505456,13,168,54.84615384615385,166.07692307692307
211549023,13,131,256.9230769230769,285.15384615384613
344035,13,2205,74.61538461538461,286.38461538461536
260618374,13,0,100.0,347.84615384615387
5144567,13,27,172.84615384615384,355.6923076923077
100238132,12,224,321.5,0.0
17555570,12,828,57.5,58.5
16677326,12,1355,85.0,349.4166666666667
51596474,12,23,25.75,0.0
45595980,12,81,144.0,107.08333333333333
137274917,12,607,110.0,235.58333333333334
39890192,12,116,120.41666666666667,186.25
156158778,12,1,3091.4166666666665,64.66666666666667
65809485,12,752,47.916666666666664,157.66666666666666
96098402,12,76,619.0,365.0
175730239,12,12,37.333333333333336,353.5833333333333
69545883,12,17,828.1666666666666,365.0
52950465,12,41,155.75,297.4166666666667
13773574,12,1,225.0,343.4166666666667
5162192,12,142,228.5,218.66666666666666
229147376,11,39,48.0,301.72727272727275
1177497,11,595,1350.0,363.3636363636364
10457196,11,45,152.36363636363637,170.45454545454547
35524316,11,1971,186.8181818181818,232.63636363636363
14898658,11,622,43.90909090909091,71.0909090909091
220229838,11,6,404.0,184.27272727272728
173685298,11,30,398.6363636363636,194.8181818181818
4291007,11,302,92.9090909090909,291.90909090909093
164886138,11,96,86.45454545454545,330.0
836168,11,235,1772.7272727272727,331.1818181818182
23878336,10,362,91.6,126.5
259796664,10,77,171.0,352.4
260577152,10,0,340.0,318.2
17477908,10,35,250.2,321.4
159811367,10,26,43.3,349.7
172369331,10,31,30.4,215.6
35927005,10,44,57.1,293.4
120767920,10,694,62.0,336.0
263053182,10,12,70.7,117.9
244171850,10,0,56.3,343.9
154258141,10,318,60.5,349.1
226339724,10,46,45.5,348.1
178543960,10,14,45.2,344.8
239660813,10,3,282.0,310.1
8792814,10,329,91.5,234.9
53179388,10,16,215.5,243.8
7831209,10,970,52.9,339.6
192951036,10,214,184.5,193.9
22384027,10,902,39.0,105.7
245314318,10,10,267.4,276.1
10737943,10,277,63.6,254.8
67987135,9,103,141.44444444444446,99.33333333333333
158969505,9,20,186.66666666666666,247.88888888888889
79105834,9,683,54.0,276.8888888888889
253906467,9,103,75.88888888888889,310.55555555555554
74541079,9,176,190.88888888888889,71.66666666666667
116305897,9,0,184.44444444444446,308.44444444444446
244361589,9,305,205.0,292.55555555555554
59156312,9,199,72.33333333333333,352.3333333333333
154981576,9,4,36.333333333333336,50.888888888888886
12485770,9,39,125.22222222222223,270.77777777777777
1613244,9,90,112.0,260.6666666666667
255431206,9,17,38.22222222222222,157.55555555555554
15310997,9,51,208.33333333333334,302.55555555555554
45416627,9,727,52.333333333333336,317.0
57049951,9,271,69.0,307.0
1786901,9,18,114.22222222222223,39.77777777777778
94214493,9,16,78.33333333333333,282.44444444444446
20559017,9,32,55.888888888888886,325.77777777777777
140830391,9,51,102.22222222222223,266.1111111111111
238779678,9,1,62.333333333333336,335.6666666666667
244559229,9,82,100.0,301.22222222222223
221213143,9,17,521.0,315.77777777777777
209386156,9,344,53.77777777777778,32.111111111111114
199833548,9,172,52.22222222222222,345.0
261632622,9,9,100.0,308.8888888888889
205745676,9,261,84.22222222222223,332.77777777777777
205530337,8,9,45.0,297.0
214347105,8,71,405.5,290.25
261761196,8,0,168.75,315.25
77778146,8,93,145.625,223.125
18212433,8,52,126.875,227.25
17638424,8,756,42.375,152.375
27673980,8,780,54.375,64.75
31304940,8,818,60.0,90.75
270874051,8,0,117.75,322.875
3038687,8,122,103.375,77.375
187975743,8,368,70.25,197.625
104812805,8,168,33.375,318.375
63417081,8,27,41.0,226.125
24831061,8,2,280.125,0.0
197053492,8,87,370.5,296.875
178224519,8,1,142.5,345.125
215577249,8,150,78.125,343.875
2822805,8,139,60.0,187.375
245637171,8,3,66.875,332.625
213208277,8,24,38.0,360.875
197368927,8,50,84.375,269.25
263504959,8,34,44.25,304.375
35783912,8,2,61.875,147.5
113723310,8,0,231.25,323.5
83786650,8,17,106.75,287.0
223087887,8,33,25.625,346.25
224815152,8,106,224.0,79.5
10407935,8,182,89.0,44.75
106837455,8,6,227.5,130.875
139357580,8,569,55.125,269.125
49704571,8,61,85.875,143.375
131476075,8,152,68.375,177.5
51913826,8,33,105.875,0.0
23582893,8,259,54.75,128.0
105640471,8,122,47.75,190.125
232251881,8,482,50.375,171.125
58234433,8,168,142.125,284.5
193502084,8,86,41.875,0.0
864735,8,136,100.0,264.0
224317184,8,19,119.375,288.0
10994664,8,3,36.625,334.0
6206040,8,67,66.375,196.0
24597265,8,225,72.875,313.75
3716641,8,105,101.5,122.875
74179880,8,531,58.875,337.25
30509656,8,26,32.0,218.875
2015914,8,419,70.125,346.0
163251048,8,0,449.0,225.75
15145088,8,42,196.875,320.625
26584499,8,7,128.625,223.25
5164854,8,102,50.0,256.5
33213436,8,614,139.125,332.25
27974952,7,35,33.285714285714285,323.42857142857144
261750091,7,3,100.0,252.28571428571428
18397763,7,238,67.57142857142857,66.57142857142857
161899037,7,209,171.85714285714286,65.85714285714286
251852817,7,98,51.285714285714285,85.28571428571429
16480700,7,287,162.57142857142858,213.14285714285714
253836845,7,10,66.71428571428571,214.71428571428572
2092314,7,7,26.142857142857142,330.57142857142856
914838,7,68,85.71428571428571,353.0
174785358,7,105,28.0,98.0
36012265,7,60,96.57142857142857,258.42857142857144
197190247,7,256,79.14285714285714,197.0
258589420,7,68,59.714285714285715,204.85714285714286
255641440,7,4,43.42857142857143,246.42857142857142
260191397,7,11,100.0,291.0
165898555,7,3,201.42857142857142,364.14285714285717
134428157,7,227,126.28571428571429,113.57142857142857
259087876,7,47,266.57142857142856,65.57142857142857
104927746,7,152,31.857142857142858,284.7142857142857
260861596,7,3,100.0,298.2857142857143
134613498,7,88,207.14285714285714,152.42857142857142
22577148,7,270,92.57142857142857,180.0
2988712,7,45,77.85714285714286,159.28571428571428
273354185,7,0,59.857142857142854,174.42857142857142
3256433,7,52,231.42857142857142,23.428571428571427
8814258,7,10,35.42857142857143,340.7142857142857
295128,7,48,89.28571428571429,349.2857142857143
266726110,7,2,88.42857142857143,353.42857142857144
52140932,7,113,59.714285714285715,330.57142857142856
50756378,7,20,83.57142857142857,115.57142857142857
50600973,7,949,39.42857142857143,49.42857142857143
23533897,7,326,275.42857142857144,312.42857142857144
140057330,7,214,55.714285714285715,64.57142857142857
182363374,7,293,124.42857142857143,34.285714285714285
20912691,7,112,128.85714285714286,49.142857142857146
732460,7,10,120.0,15.428571428571429
137999892,7,136,33.142857142857146,288.57142857142856
137522531,7,202,272.7142857142857,269.14285714285717
55468128,7,562,54.57142857142857,260.0
227679456,7,133,132.71428571428572,52.57142857142857
244370442,7,76,332.57142857142856,354.57142857142856
62533391,7,53,54.714285714285715,292.42857142857144
242573463,7,0,77.0,160.28571428571428
204704622,7,9,37.285714285714285,16.857142857142858
243288727,7,0,221.42857142857142,321.85714285714283
40176101,7,1818,74.71428571428571,48.857142857142854
145878384,7,53,77.85714285714286,303.57142857142856
244082709,7,114,100.71428571428571,153.0
219333557,7,107,75.57142857142857,33.142857142857146
110965771,7,111,103.57142857142857,50.857142857142854
263880607,7,23,88.14285714285714,337.2857142857143
5680111,7,55,66.0,141.42857142857142
247335568,7,4,158.57142857142858,20.571428571428573
216772639,7,58,56.57142857142857,229.42857142857142
10415675,7,41,77.57142857142857,232.14285714285714
243367528,7,99,86.85714285714286,303.0
260609528,7,1,100.0,353.57142857142856
261338177,6,1,26.333333333333332,333.0
261187437,6,11,63.0,296.3333333333333
23188519,6,101,68.16666666666667,322.3333333333333
133802988,6,5,41.666666666666664,363.8333333333333
133130315,6,30,112.33333333333333,191.33333333333334
2787,6,105,100.66666666666667,235.33333333333334
23234988,6,196,542.8333333333334,255.33333333333334
52577963,6,81,97.16666666666667,240.66666666666666
188498431,6,94,62.333333333333336,347.5
102466916,6,18,50.166666666666664,189.83333333333334
271393608,6,6,69.16666666666667,23.0
188015014,6,50,80.66666666666667,134.0
3491890,6,83,180.0,207.33333333333334
22486,6,308,102.5,284.0
101970559,6,15,27.166666666666668,310.0
51038,6,215,140.66666666666666,230.83333333333334
30237517,6,34,176.0,62.5
17706542,6,2,38.0,348.5
32164030,6,76,39.0,324.3333333333333
262360035,6,31,75.16666666666667,364.6666666666667
202757964,6,4,204.16666666666666,249.0
18260299,6,26,44.833333333333336,54.833333333333336
4422523,6,20,148.33333333333334,198.33333333333334
29650513,6,145,92.33333333333333,278.0
203982404,6,121,210.0,116.16666666666667
257683179,6,12,46.166666666666664,128.83333333333334
115771987,6,0,197.16666666666666,280.5
30985759,6,373,97.66666666666667,253.33333333333334
118378908,6,98,72.0,293.0
117492425,6,319,106.33333333333333,150.66666666666666
73425483,6,113,161.5,230.16666666666666
35660592,6,254,109.66666666666667,280.8333333333333
156948703,6,1052,98.0,339.6666666666667
26556695,6,29,1277.3333333333333,364.8333333333333
173362161,6,317,61.833333333333336,125.33333333333333
61042,6,68,48.833333333333336,11.333333333333334
5288991,6,166,60.0,235.0
158540605,6,478,30.833333333333332,252.0
158461160,6,17,61.666666666666664,268.0
34643568,6,63,85.0,170.66666666666666
33064599,6,161,142.5,328.8333333333333
16139880,6,416,51.666666666666664,160.66666666666666
4852748,6,8,166.66666666666666,322.6666666666667
69427329,6,692,136.16666666666666,270.1666666666667
161324994,6,3,37.166666666666664,49.666666666666664
159610596,6,422,318.3333333333333,254.16666666666666
32446721,6,100,38.0,364.1666666666667
2027013,6,337,96.0,42.666666666666664
261761719,6,0,100.0,291.6666666666667
114736959,6,246,161.5,211.66666666666666
215778245,6,65,30.666666666666668,336.1666666666667
63272360,6,0,90.83333333333333,130.16666666666666
63312104,6,324,57.5,358.8333333333333
215588687,6,18,30.833333333333332,362.5
430188,6,229,111.66666666666667,234.0
264043510,6,13,67.66666666666667,334.0
5986790,6,83,41.666666666666664,232.66666666666666
619942,6,168,64.83333333333333,128.33333333333334
126653377,6,5,60.833333333333336,288.6666666666667
178473107,6,61,91.16666666666667,31.5
3750764,6,0,3130.0,242.66666666666666
123745971,6,1,608.3333333333334,348.0
124860677,6,353,59.333333333333336,298.6666666666667
59529529,6,1229,77.5,169.16666666666666
59051417,6,48,264.8333333333333,105.5
142590597,6,61,129.16666666666666,179.33333333333334
1409262,6,102,75.66666666666667,233.0
151810361,6,38,87.33333333333333,318.5
247013511,6,54,52.833333333333336,105.83333333333333
151084261,6,84,83.66666666666667,295.6666666666667
156114168,6,0,48.5,217.5
175019394,6,395,130.0,125.0
175103962,6,151,46.666666666666664,159.0
175180318,6,301,76.66666666666667,234.33333333333334
20120009,6,205,59.833333333333336,43.0
86327101,6,619,26.666666666666668,206.0
191765199,6,223,125.83333333333333,70.16666666666667
179336958,6,46,77.5,317.8333333333333
45835291,6,305,52.5,125.16666666666667
56283770,6,5,182.5,192.66666666666666
140630987,6,77,64.0,173.33333333333334
228879817,6,83,68.5,147.5
139879568,6,262,90.83333333333333,352.0
303939,6,915,36.333333333333336,276.6666666666667
268135013,6,8,126.66666666666667,79.5
3388950,6,480,71.5,145.33333333333334
190981544,6,339,65.0,265.6666666666667
230037325,6,43,55.666666666666664,163.5
9130040,6,15,92.33333333333333,365.0
21261408,6,10,94.83333333333333,345.1666666666667
21410914,6,326,117.5,65.16666666666667
232596712,6,1,545.0,336.5
187487947,6,164,76.5,0.0
101657794,6,230,71.66666666666667,242.5
101491116,6,212,26.333333333333332,26.833333333333332
227134858,5,66,68.4,151.8
92706260,5,184,47.0,73.2
155691570,5,307,47.0,82.6
256403429,5,50,68.2,62.2
56656728,5,170,136.4,53.8
3441272,5,1013,84.0,242.8
125320407,5,6,800.0,364.8
7365834,5,130,118.6,301.4
41326856,5,58,73.8,87.4
21020951,5,45,87.0,331.8
22307859,5,13,114.8,106.0
44213272,5,100,69.0,275.6
241889662,5,11,999.0,327.0
191338162,5,156,142.0,104.4
1172202,5,356,66.0,32.4
248068752,5,48,75.0,363.0
519554,5,170,70.6,331.2
219738858,5,64,171.2,196.6
43044876,5,9,37.0,7.2
50448556,5,2,160.0,0.0
9898029,5,83,103.4,285.6
116382,5,611,55.6,249.6
232578558,5,41,69.6,4.2
216304678,5,37,64.4,314.2
8715723,5,622,155.6,227.2
51991283,5,11,185.0,278.4
247189581,5,23,33.4,33.4
2559004,5,16,46.6,250.2
134946389,5,242,52.0,34.4
7055854,5,71,1024.0,232.8
6980995,5,94,127.4,36.8
